"INLINE EscapeQuoteTable","Text ID"
"0x0","0x0"
"Eirika","0"
"Seth","0"
"Gilliam","0"
"Franz","0"
"Moulder","0"
"Vanessa","0"
"Ross","0"
"Neimi","0"
"Colm","0"
"Garcia","0"
"Innes","0"
"Lute","0"
"Natasha","0"
"Cormag","0"
"Ephraim","0"
"Forde","0"
"Kyle","0"
"Amelia","0"
"Artur","0"
"Gerik","0"
"Tethys","0"
"Marisa","0"
"Saleh","0"
"Ewan","0"
"L'Arachel","0"
"Dozla","0"
"EMPTY","0"
"Rennac","0"
"Duessel","0"
"Myrrh","0"
"Knoll","0"
"Joshua","0"
"Syrene","0"
"Tana","0"
"Lyon","0"
"Orson","0"
"Glen","0"
"Selena","0"
"Valter","0"
"Riev","0"
"Caellach","0"
"Fado","0"
"Ismaire","0"
"Hayden","0"
"0x2d","0"
"0x2e","0"
"0x2f","0"
"0x30","0"
"0x31","0"
"0x32","0"
"0x33","0"
"0x34","0"
"0x35","0"
"0x36","0"
"0x37","0"
"0x38","0"
"0x39","0"
"0x3a","0"
"0x3b","0"
"0x3c","0"
"0x3d","0"
"0x3e","0"
"0x3f","0"
"0x40","0"
"0x41","0"
"0x42","0"
"0x43","0"
"0x44","0"
"0x45","0"
"0x46","0"
"0x47","0"
"0x48","0"
"0x49","0"
"0x4a","0"
"0x4b","0"
"0x4c","0"
"0x4d","0"
"0x4e","0"
"0x4f","0"
"0x50","0"
"0x51","0"
"0x52","0"
"0x53","0"
"0x54","0"
"0x55","0"
"0x56","0"
"0x57","0"
"0x58","0"
"0x59","0"
"0x5a","0"
"0x5b","0"
"0x5c","0"
"0x5d","0"
"0x5e","0"
"0x5f","0"
"0x60","0"
"0x61","0"
"0x62","0"
"0x63","0"
"0x64","0"
"0x65","0"
"0x66","0"
"0x67","0"
"0x68","0"
"0x69","0"
"0x6a","0"
"0x6b","0"
"0x6c","0"
"0x6d","0"
"0x6e","0"
"0x6f","0"
